,레시피 이름,식품명,재료,양념,조리순서
79,전복탕,전복탕,전복 10마리##다진 마늘 1/2t##다진 파 1/2t##소금 1/2t##물 1800ml##,다시마 10g##청양고추 2개##멸치(국물용) 15g##,"전복은 숟가락으로 내장이 터지지 않게 껍데기에서 살을 떼내요.##육수만들 재료를 준비해요.
다시마(15g), 청양고추(2개), 멸치(15g)
저는 멸치 대신, 일본여행에서 사 온 순다시를 넣었어요.##주방용 솔로 전복을 살살 문질어 닦아요.##끓는 물에 넣었다 빼는 방식으로 데쳐요.##살짝 데친 전복에서 내장만 따로 떼어내요.
1. 데쳐내지 않으면 내장을 따로 떼내기가 난감해요. 확 터져서~
2. 떼낸 내장은 들기름에 살짝 볶아 약하게 소금간을 하거나 초고추장에 찍어 먹으면 별미!##전복끝의 이를 칼로 잘라내요.##전복의 윗면에 사선으로 칼집을 내요.
칼집을 내야 훨씬 먹음직스러워요. 살이 부드럽기도 하고요.##냄비에 물 1800㎖ 부어 끓으면 다시마, 청양고추, 멸치를 넣어요.
1. 보통 멸치로 국물을 낼 때, 비린내를 없애기 위해 팬에 슬쩍 볶아서 쓰지요? 그게 귀찮으면 전자렌지에 30초 정도만 돌리세요. 비린내가 싹 가셔요.
2. 다시마는 끓기 15분 정도 되면 꺼내서 채를 썰어두었다가 고명으로 쓰세요.##국물이 반으로 줄어 뽀얗게 되고, 전복살이 부들부들해질 때까지 끓인 후, 다진 마늘, 소금으로 간을 해요.
중간불##다 끓으면 전복과 국물을 그릇에 담고, 채썬 다시마와 다진 파를 얹어요.
국물멸치 대신에 넣은 '순다시'는 국내에 수입이 안돼요. 일본 여행 갈 기회가 있으시면 꼭 구입하세요. 여러가지 생선으로 만든 것으로, 30팩 한 상자에 한화로 14,000원정도예요. 선물용으로도 적당해요. 백화점 식품코너에서 팔아요.(백화점에서만!) 국이나 찌개 끓일 때 한 팩씩 넣으면 맛이 아주~깊어진답니다.##"
80,이것은 매운탕인가? 해물탕인가? 해물매운탕,해물매운탕,,고추가루 2T##청주 3T##마늘 1T##소고기다시다 1t##소금 1t##파 ##,생선과 해물을 씻어 체에 받칩니다##무 고추 파를 썰어놓습니다##쌀뜨물을 끓입니다##물이 끓으면 고추가루를 풉니다##무를 넣고 매운탕꺼리를 넣습니다##순서대로 양념과 재료를 넣습니다##식탁에 냅니다##
81,시원하게 막국수,막국수,고춧가루 2큰술##설탕 1큰술##식초 1.5큰술##고추장 1큰술##다진파 1큰술##다진마늘 1/2큰술##참기름 1큰술##참깨 약간##무 1토막##시판 냉면 육수 2봉##오이 1/2개##메밀국수 2줌##삶은 달걀 1개##소금 0.3큰술##,,"재료:무1토막,시판냉면육수2봉,오이1/4개,메밀국수2줌,삶은달걀1개
무양념:소금0.3큰술,설탕0.7큰술,달걀1개
양념장:고춧가루2큰술,설탕1큰술,식초1.5큰술,고추장1큰술,다진파1큰술,다진마늘반큰술,참기름1큰술,참깨약간##오이는 채썰고 삶은 달걀은 반으로 썰어준비해요.##시판냉면육수로 시원하게 막국수 만들어요.##시판냉면육수에 고춧가루,설탕,식초,고추장,다진파 ,다진마늘,참기름을 넣어
양념장을 만들어 냉장실에 차게 만들어요.
무는 얇게 직사각형으로 썰어 소금,설탕,식초에 30분가량 절여 줍니다.
무절임은 사진이 날라가버렸네요.##메밀국수는 삶아 찬물에 휑궈 물기를 제거해줘요.##그릇에 메밀국수를 담고 무절임,오이,달걀을 올려주고##양념 육수를 부어주고 참깨를 뿌려 완성
얼음도 넣어 시원하게 먹으면 되죠.##막국수완성##"
82,소고기 샤브샤브,소고기샤브샤브,소고기 목심##멸치육수 ##맛술 ##무 ##대파 ##,마요네즈 2T##간장 1T##설탕 1T##참깨 ##,"야채는 정해진 게 없고 모듬쌈 정도 있으면 좋고 마무리로 칼국수 준비해주면 좋아요. 버섯은 새송이버섯도 좋고 표고버섯도 좋고 있으면 준비해주세요. 소고기 샤브샤브에 좋은 고기는 소고기 목심 부위랍니다. 부드러워서 어린아이들 먹기에도 참 좋거든요.##샤브샤브 육수용 재료 : 다시멸치용 티백, 다시마, 무, 대파 일반 국물 내는 재료들이죠. 다시마는 감칠맛이 나니까 가급적 넣어주세요.##재료 넣고 샤브샤브 육수 먼저 내주세요. 육수가 끓으면 다시마 먼저 건져내고 좀 더 끓여주세요. 10분~15분 정도면 샤브샤브 육수가 완성된답니다. 대파는 건져내고 무는 그대로 두세요.##가쓰오 장국, 맛술, 다진 마늘로 간해줬고요. 샤브샤브는 오래 끓이면서 먹는 거라 간은 싱겁게 해주세요.##참깨소스 : 마요네즈 2, 간장, 설탕 1, 참깨(밥 수저 기준) 참깨는 갈아서 듬뿍 넣어주세요. 고소하니 맛있답니다.
간장 레몬 소스 : 간장 5 , 식초 5 , 설탕 2, 레몬즙(밥 수저 기준) 레몬즙은 반개 즙 내서 넣어줬어요. 레몬즙이 들어가서 상큼하니 아주 맛있더라고요.##육수가 보글보글 끓고 있죠. 야채 먼저 넣고 소고기 넣어어 드시면 완성~##"
83,우거지해장국 끓이는 법,우거지해장국,삶은 우거지 150g##풋고추(청양고추) 1개##홍고추 1/2개##대파 1/3대##,된장 1큰술##고춧가루 1작은술##다진마늘 1/2큰술##들깨가루 1큰술##들기름 1작은술##,"삶은 우거지는 물기를 꼭 짜서 1-2cm 길이로 잘라 주세요.##우거지에 분량의 양념을 넣고 조물조물 무쳐 주세요.##대파와 풋고추, 홍고추는 어슷썰어 주세요.##코팅이 된 냄빙 포도씨유를 넣고 우거지를 중약불에서 1분간 타지 않게 볶아 주세요. 그냥 스텐레스 냄비에 하면 탈 확률이 높으니 저처럼 세라믹 코팅이 된 냄비를 사용해 주세요.##시판 사골국물과 물을 붓고 보글보글 끓여 주세요.##우거지 해장국이 바글바글 끓으면 뚜껑을 닫고 약불에서 약 10정도 더 끓여 주세요. 대파, 고추를 넣고 한소끔 더 끓인 후 불에서 내려 주세요.##"
84,"국물이 시원한 아구탕,아구지리탕 끓이기 황금 레시피",아구탕,아구 3마리##,,"손질해서 사온 아구는 물에 한번 헹구고 소금과 약술에 재워두고
아구를 소금에 약간 재워두면살이 꼬들꼬들하고 잘 부서지지 않음##멸치와 다시마 그리고 말린표고 를 넣고 15분간 육수를우려낸다##육수가 만들어 지는 동안 무와 야채 다듬어 씻고 콩나물은 머리를 떼어 깔끔하게 다듬어 씻어 놓고##우러난 육수 건더기 건져내고 된장 풀고 무우 썰어놓은것 먼저 넣고 끓이다가##담가놓은 아구를 물에 두번 헹구어 솥에 넣고 함께 5분정도 끓인다
센불
아구가 끓을때 거품을 끝까지 걷어내야 깔끔한 국을 끓일수 있다##아구가 익으면 마늘과 파 그리고 야채썰어 놓은 것을 넣어주고 소금으로 간을 맞춘다. 시원하고 개운한 아구 지리탕 맛있게 완성 !!##"
85,우럭매운탕,우럭매운탕,우럭(생물) 1마리##무(나박썬 것) 1+1/2줌##건다시마 (3cmX4 cm) 4장##호박(반달썬 것) 1줌##콩나물 2줌##양파 1/2개##두부(사각모양 썬것) 6조각##쑥갓 1줌##풋고추 1개##홍고추 1/2개##대파 1/2대##,고춧가루 2큰술##국간장 1큰술##다진마늘 1+1/2큰술##청주 2큰술##고추장 1/2큰술##된장 1/4큰술##소금 1/4큰술##후춧가루 ##,"배를 갈라서 내장을 제거해주세요. 가위로 지느러미를 모두 잘라준 다음 엷은 소금물에 세척한 다음 먹기 좋은 크기로 잘라줍니다. 뼈가 억세기 때문에 토막 낼 때 조심하세요. 그리고 시장에서 손질해 오실 때는 머리는 꼭 챙겨오세요. 머리를 넣고 끓여야 매운탕이 더 맛있답니다.##재료에서 한 줌의 양은 식재료를 한 손 가득 가볍게 쥐었을 때를 말합니다. 무는 나박썰기하고 호박은 반달썰기합니다, 콩나물은 서너번 세척한 다음 물기를 빼주세요. 양파도 굵게 채썰어 주고요. 두부는 도톰하게 사각 모양으로 썰어주세요. 홍고추, 풋고추, 대파는 어슷썰어 주시구요. 쑥갓은 식초를 1큰술 넣은 찬물에 5분 정도 담갔다가 흙이 가라앉으면 서너번 헹군 뒤에 물기를 제거합니다. 홍고추를 링으로 썰어서 쑥갓을 끼워주면 깔끔하면서 예쁘구요.##물은 그냥 생수를 사용했습니다. 무와 다시마로 육수를 끓이기 때문에##양념장은 고추가루 2큰술, 국간장 1큰술, 다진 마늘 1큰술반, 청주 2큰술, 고추장 반 큰술, 된장 4분의 1큰술을 넣고 고루 섞어줍니다. 하루 정도 숙성시켜주면 더욱 깊은 맛이 난답니다. 더 매운 맛을 원하시면 청양 고추가루를 섞어서 넣어주는 것도 좋답니다.##생수 1리터를 넣고 나박 썬 무와 마른 다시마를 넣어 육수를 만들어 줍니다. 팔팔 끓으면 5분 뒤에 다시마는 먼저 건져내야 다시마의 끈적이는 성분이 나오지 않아서 국물이 깔끔합니다. 토막낸 우럭을 넣어줍니다. 생선은 항상 육수가 끓을 때 넣어줘야 생선살이 단단해 져서 부스러지지 않는답니다.##호박과 양파를 먼저 넣어주고요. 양념장은 반만 먼저 넣어서 풀어줍니다. 계속 끓여주시구요.##야채나 생선이 익으면서 거품이 나오는데, 거품은 걷어주고 두부를 넣어줍니다. 두부는 너무 미리 넣으면 단단해져서 맛이 없구요. 너무 마지막에 넣어도 간이 배이지 않아 맛이 없답니다.##남은 양념장 반을 다 넣어주고요. 양념장은 항상 한꺼번에 다 넣지 마세요. 짤 수도 있구요. 양념은 나눠서 넣는 것이 실패 확률이 적답니다. 콩나물을 넣어줍니다. 뚜껑을 열고 끓을 때 콩나물을 넣어주면 콩나물 비린내가 전혀 안납니다. 콩나물은 처음부터 끝까지 뚜껑을 닫고 익히든지, 아니면 처음부터 뚜껑을 열고 끝까지 뚜껑을 열든지 2가지 중 한 가지만 선택하면 콩나물 비린내가 안납니다.##대파, 풋고추, 홍고추 등을 넣어주고요. 마지막에 소금 4분의 1큰술과 후추가루를 넣어 간을 맞춰줍니다.##쑥갓은 여열로 익혀주면 되므로 끓이지 마세요. 국물에 넣어주면 바로 익어버린답니다.##완성 냄비에 국자로 담아주면 더욱 폼나지요. 시원하고 얼큰한 우럭 매운탕입니다. 생물 우럭이라서 살이 얼마나 부드러운지 모른답니다. 요즘 같은 추운 날씨에 밥반찬, 술안주로 강력 추천입니다.##"
86,소고기 샤브샤브,쇠고기 샤브샤브,소고기 목심##멸치육수 ##맛술 ##무 ##대파 ##,마요네즈 2T##간장 1T##설탕 1T##참깨 ##,"야채는 정해진 게 없고 모듬쌈 정도 있으면 좋고 마무리로 칼국수 준비해주면 좋아요. 버섯은 새송이버섯도 좋고 표고버섯도 좋고 있으면 준비해주세요. 소고기 샤브샤브에 좋은 고기는 소고기 목심 부위랍니다. 부드러워서 어린아이들 먹기에도 참 좋거든요.##샤브샤브 육수용 재료 : 다시멸치용 티백, 다시마, 무, 대파 일반 국물 내는 재료들이죠. 다시마는 감칠맛이 나니까 가급적 넣어주세요.##재료 넣고 샤브샤브 육수 먼저 내주세요. 육수가 끓으면 다시마 먼저 건져내고 좀 더 끓여주세요. 10분~15분 정도면 샤브샤브 육수가 완성된답니다. 대파는 건져내고 무는 그대로 두세요.##가쓰오 장국, 맛술, 다진 마늘로 간해줬고요. 샤브샤브는 오래 끓이면서 먹는 거라 간은 싱겁게 해주세요.##참깨소스 : 마요네즈 2, 간장, 설탕 1, 참깨(밥 수저 기준) 참깨는 갈아서 듬뿍 넣어주세요. 고소하니 맛있답니다.
간장 레몬 소스 : 간장 5 , 식초 5 , 설탕 2, 레몬즙(밥 수저 기준) 레몬즙은 반개 즙 내서 넣어줬어요. 레몬즙이 들어가서 상큼하니 아주 맛있더라고요.##육수가 보글보글 끓고 있죠. 야채 먼저 넣고 소고기 넣어어 드시면 완성~##"
87,"순두부찌개. 바지락, 고기 없이도 기가 막힌 순두부찌개 만드는 법 / 만들기 / 순두부찌개 황금 레시피",낙지탕,순두부 ##대파 1/4개##양파 1/4개##애호박 1/4개##청양고추 1개##달걀 1개##참기름 1큰술##식용유 2큰술##고추가루 1+1/2큰술##소금 1/2큰술##설탕 1꼬집##굴소스 1큰술##간장 1큰술##다진 마늘 1큰술##,,"제일 먼저 멸치 육수를 끓여주세요. 멸치외에 있으면 표고버섯 약간, 다시마 약간 넣고 끓이면 되는데 없으면 멸치만 넣고 그냥 끓여도 됩니다.
그 다음은 채소를 손질해야겠죠. 대파 1/4과 양파 1/4을 잘게 썰어주시고요.##매콤한걸 좋아하시는분은 청양고추 하나 어슷하게 썰어주시고##호박 1/4은 반달 모양으로 썰어주세요.##재료손질은 벌써 끝났네요. 다음은 준비한 뚝배기나 냄비에 참기름 1큰술,
식용유 2큰술을 넣어주세요.##그리고 준비한 양파, 대파를 넣고 볶아주세요.##그리고 고추가루 1큰술 반을 넣고 고추기름을 만들어줍니다. 매운걸 못드시는 분은 한큰술만 넣으세요.##고추기름을 만들었으면 소금 반큰술, 설탕 한꼬집을 넣어주세요. 설탕은 안넣으셔도 되긴 한데 보통 식당에서는 넣죠.##그 다음엔 굴소스 1큰술, 간장 1큰술을 넣고 저어서 섞어주세요.##그 다음은 멸치육수를 부어주세요. 준비된 냄비에 반 정도를 채워주세요. 너무 많이 부으면 순두부 넣을때 넘칩니다.##자 이제 팔팔 끓여줍니다. 끓기 시작하면 호박과 고추를 넣고, 다진마늘도 한큰술 넣어주세요~##그 다음은 순두부를 넣어줍니다.##마지막으로 달걀과 파를 넣어 마무리 해줍니다.##제눈에는 엄청 맛있어 보이는데 어떠세요?
사실 순두부찌개의 맛을 좌우하는 바지락이나 돼지고기 없이 맛을 내려면 쉽지 않은데요. 제가 생각하는 포인트는 바지락이나 돼지고기가 없으면 굴소스 정도는 꼭 들어가야 하고, 멸치육수도 필요합니다. 그리고 간이 적당히 맞아야 합니다.
집에서도 맛집 순두부찌개가 먹고싶다면? 화심 순두부찌개!##"
88,복지리탕,복지리탕,,,"복어는 손질된거라 적당한 크기로 자르기만 하면 돼요.##냄비에 물을 먼저 끓이다가 무우 얄팍~얄팍~~하게 썰어서 한줌정도만 넣어줍니다. 무우를 너무 많이넣으면 달작지근해서 시원한맛이 안 나죠.~~##끓으면서 뜨는 거품은 걷어내고~~~ 시원하게 지리로 끓일때는 청양고추를 한두개 넣어주면 얼큰하면서 더 시원합니다. 끓을때 생강즙도 넣어주고 냄비 뚜껑은 열어놓고 끓입니다. 생선비릿한맛이 사라지라고.##복어가 푹~~~익었을때 마무리 단계에서 콩나물 조금,소금1큰술(가감하시고) 차례대로 미나리도 넣고 대파도 넣고 다진마늘도 넣으면서~~백후추 뿌리고 마무리.~~~##식탁으로 옮겨서 약불로 끓이면서 먹어야 맛이 좋습니다.##"
89,#돼지내장요리 #돼지내장 #내장탕만들기 #돼지내장을 이용한 얼큰한 몸보신으로 좋은 내장탕!!,내장탕,,,"냉동상태의 돼지내장입니다. 각종 모둠이죠. 머릿고기도 있고 염통도 있고 오소리감투라고 하나요. 그것도 있고요. 해동을 시켜 줍니다.##한꺼번에 한번 삶아서는 냄새도 제거 시키고 내장탕 할꺼만 남겨 놓고 냉동실에 넣어 두려고요. 돼지의 잡내를 잡기 위해서 통후추, 월계수잎, 팔각을 다시팩에 넣어 줍니다.##그리고 된장을 넣어서 잡내를 잡아 주려고요.##해동한 각종 돼지내장을 들통에 넣어 줍니다. 물을 부어 주고는 센불에서 팔팔 끓여 줍니다.##내장이 삶아지는 동안에 내장탕의 양념장을 만들어 줍니다. 고춧기름, 고춧가루, 다진마늘, 다진생강, 청양고추, 새우젓, 멸치액젓, 맛술을 넣어서 잘 섞어 줍니다.##삶아낸 돼지내장입니다. 간도 보이고요. 은근히 이물질도 많네요.##각종 이물질들을 모두 깔끔하게 제거하고 다시한번 물에 씻어 준 후에 먹기 좋은 크기로 썰어 줍니다. 내장탕에 넣을 양만 남겨 놓고는 위생비닐에 넣어서 냉동실로 직행!!!##각종 내장들을 냄비에 넣어 줍니다.##여기에 시중에서 파는 사골곰탕육수를 부어 줍니다.##그리고 만들어 놓았던 양념장을 잘 풀어서 넣어 주세요.##어차피 내장은 다 익은 상태이기 때문에 팔팔 끓어오르면 바로 썬파를 올려 주시면 끝이지요.##얼큰하고 푸짐한 돼지내장을 이용해서 만든 진한 국물의 돼지내장탕 완성입니다.##"
90,국물이 끝내주는 대구매운탕,대구 매운탕,대구 1마리##대합 1봉지(200g)##중새우 10마리##무 100g##양파 1/4개##호박 1/4개##대파 1대##홍고추 1개##두부 1/2모##청양고추 1개##팽이버섯 1/3봉지##쑥갓 약간##소금 약간##청주 3큰술##,물 6컵##국멸치 10마리##다시마(5*2) 2장##무 120g##,"무는 도톰하게 나박썰기 ,양파 채썰기, 호박 반달썰기, 홍고추, 청고추, 대파는 어슷썰기를 해주세요. 팽이버섯,쑥갓 준비하고 두부도 1/2모 준비해서 네모지게 썰어주세요##대합, 새우, 대구는 깨끗이 씻은후에 청주를 넣어 잠시 놓아두세요##대구에 굵은소금 1작은술을 뿔려 잠시 놓아둔후 물에 씻어 체에 받쳐 좋으시고##분량대로 양념을 모두 섞어 준비해주세요##멸치육수재료를 모두 냄비에 넣어 끓인후에 물이 끓어오르면 다시마는 건지고 15~20분 정도 중불에서 끓여주신 후##멸치육수를 체에 걸러 육수를 다시 냄비에 넣고 무 넣어 끓어오르면 대구, 대합, 새우를 넣어 끓여주세요##양념장을 풀어 한소금 끓여주시고 끓어오르면 거품 제거해주시고##두부, 팽이버섯, 홍고추, 청고추, 쑥갓을 넣어주시고 싱거우시면 소금으로 간해주시면 된답니다##대구매운탕 완성~##"
91,"한우 사골과 잡뼈, 사태로 곰탕 끓이는 법 레시피",곰탕,사골 1kg##,,"그릇에 사골과 잡뼈 담아 주세요.##찬물에 담가 핏물을 빼야 합니다. 30분에 한번씩 찬물을 갈아주며 3시간 동안 핏물을 제거해 줍니다.##흐르는 물로 깨끗이 씻어 주세요.
위로 떠다니는 부유물을 집중적으로 제거해 줍니다.##애벌 끓이기.
1차로 끓여서 버려야 합니다.
사골과 잡뼈가 물에 잠기게 넉넉하게 부어 주세요##물이 끓기 시작하면 부유물이 조금씩 생기게 됩니다.##센 불로 한번 부르르 끓게 되면 이렇게 불순물이 올라오게 됩니다. 칙칙한 녹색으로 보기에도 이물질임이 느껴지게 돼요. 빠짐없이 제거해 주셔야 합니다.##뼈에도 아직 불순물이 남아 있습니다.##뼈마다 하나씩 꼼꼼히 흐르는 물에 씻어 주세요. 뼈에 붙어 있지만 금방 제거됩니다.##본격적으로 곰탕 끓일 솥도 다시 한번 불순물을 제거해 주세요. 깨끗이 세척 바랍니다.##첫 번째 끓이기.
솥에 찬물 받아 줍니다.
한가득 넉넉하게 물을 받아 끓일 준비를 합니다.##센 불로 1시간 끓여 주세요.
절대 중간에 물을 추가로 넣어 주면 안 됩니다.##약불로 3시간 정도 끓이면 됩니다.##국물이 뽀얗게 보입니다. 붙어 있던 살도 흐믈흐믈 잘 고와졌어요.##첫 번째 끓인 물은 기름이 많이 뜹니다. 뜰채로 건져도 잘 안되니 굳힌 상태에서 기름을 걷어 내면 쉽기도 하고 잘 제거가 됩니다.
기름을 걷어 내기 위해 다른 냄비에 국물만 따로 부어 줍니다.##한 김 뺀 후 냉장고에 넣어 두었어요.
한참 지나 꺼내 보니 기름이 고체 덩어리로 굳어 있습니다.##주걱으로 살살 걷어 주면 됩니다.
기름기를 다 제거했습니다. 이렇게 하면 의외로 쉽게 기름이 전부 제거가 됩니다.##두 번째 끓이기.
첫 번째 따라 부운 국물의 기름을 굳히는 동안 두 번째 끓일 준비를 합니다. 첫 번째와 마찬가지로 찬물을 한가득 부어줍니다. 6리터 솥인데 뼈 포함해서 가득 부어 주었습니다.
1시간 동안 센 불로 끓이다 3시간은 약불로 끓여 줍니다.##사태도 핏물을 빼기 위해 찬물에 담가 둡니다. 1시간 동안 담가 주었어요.##사태는 두 번째 국 끓일 때 함께 삶아 먹기 좋게 손으로 찢어 둡니다.##"
92,라면 요리 / 계란 라면,달걀라면,마늘 2톨##양파 1/2개##계란 3개##라면 1개##올리브 오일 2Ts##버터 10g##소금 1꼬집##후춧가루 1꼬집##체다치즈 10g##,,"마늘은 편 썰어 준다.##양파는 채 썰어 준다.##계란은 풀어서 준비한다.##라면은 70%만 삶아 준다.##삶은 라면은 찬물에 씻어 물기를 제거한다.##프라이팬에 올리브오일, 버터, 양파를 넣고 볶는다.##소금, 후춧가루를 넣어 준다.##양파가 익으면 마늘과 라면을 넣고 볶는다.##라면을 한쪽으로 밀어 넣고 계란을 넣고 볶아준다.##완성된 면은 그릇에 담고. 체더치즈를 뿌려 준다.##"
93,떡라면 맛있게 끓이는 방법!!,떡라면,라면 1개##떡국떡 30g##대파 1/3대##양파 1/4개##청양고추 1개##홍고추 1개##달걀 1개##물 500ml##,,"*재료의 양은
냉장고 사정에 맞게 가감하세요.
라면은 아무거나 사용하셔도 됩니다.##떡국떡은 말랑할 경우 그대로 사용하시고
굳어 있으면 찬물에 미리 담가 불려두세요.
저는 약 20분 정도 담가뒀네요.
떡국떡 30g, 찬물
용기##양파는 채썰고
청양고추와 홍고추, 대파는
송송 썰어서 준비해 주세요.
대파, 양파, 청양고추, 홍고추
도마, 칼##냄비에 물을 500ml 붓고
센불에서 끓여주세요.
물이 끓으면 먼저 떡국떡을 넣고
물 500ml, 떡국떡
냄비
센불##분말 스프, 건더기 스프, 면, 채썬 양파를
차례대로 넣은 다음
4분간 더 끓여주세요.
분말스프, 건더기스프, 면, 채썬 양파
센불##면발과 떡이 익으면
송송 썬 대파와 청양고추,
홍고추를 넣고
대파, 처양고추, 홍고추
중불##마지막으로 달걀을 하나 톡 깨서 넣은 다음
휘휘 저어주세요.
약불에서 30초 정도 끓인 다음
가스불은 꺼주세요.
달걀
약불##그릇에 먹기 좋게 담아내면
떡라면 완성이에요.
그릇##"
94,굴소스마요라면 만들기,라면,라면 1인분##파 약간##청양고추 1개##,라면스프 1/2개##굴소스 2T##버터 약간##마요네즈 취향껏##,라면을 3분정도 끓여줍니다##물은 약간만 남기고 버리고 라면수프 반개를 넣어 잘 섞어줍니다##굴소스를 넣어서 섞어주고##국물이 자작자작해지면 버터를 넣습니다##파를 넣고 잘 볶아준 후 불을 끕니다##마요네즈와 청양고추를 위에 얹으면 완성 +_+##
95,백종원 돈가스덮밥. 양파듬뿍올려 먹는 가츠동.,류산슬덮밥,돈가스 1장##양파 1/2개##계란 2개##쪽파 or 대파 1스푼##밥 1공기##,간장 2.5T##맛술 2.5T##설탕 1.5T##물 10T##,"돈가스를 기름에 굽거나 튀겨주세요.
돈가스는 튀기는 것이 바삭하니 더 맛있는 것 같아요.(취향껏 요리해주세요)##돈가스를 튀겨내는동안 양파를 잘라주고, 쪽파를 쫑쫑 썰어주었어요. 계란2개도 풀어주시고요.##잘 튀겨진 돈가스는 거름망에 올려 기름을 좀 빼주시고요.##다른 냄비에 물+간장+맛술+설탕을 넣어서 덮밥소스를 만들어주세요. 물 10T + 간장 2.5T + 맛술 2.5T + 설탕 1.5T 로 만들었어요.##만들어진 덮밥소스에 양파를 넣어 같이 끓여주세요.##양파가 반 정도 익어가면 돈가스를 잘라서 가운데 올려주시고요. 그 옆으로 계란물을 빙~ 둘러주세요.##마지막으로 쪽파를 뿌려 올려주시면 됩니다. 그리고 불을 끄고남은 잔열로 계란을 익혀주시면 되요. 계란이 너무 많이 익으면 식감이 거칠어(?) 지니 약간만 익혀주세요.##뜨거운 밥 한그릇 위에 올려주시면 되는데요. 스르륵~ 올라갈 줄 알았는데
잘 안올려지더라구요 :D 돈가스 먼저 집어서 밥 중간에 올려주시고요. 계란떠서 옆에 올려주세요.
바삭하게 튀긴 돈가스에 덮밥소스가 촉촉히 베어 들어가서 부드러운 돈가스덮밥이 완성된답니다.##"
96,남은 잡채 요리 매콤 잡채밥 만드는 법!,잡채밥,잡채 1접시##다진 파 1/2종이컵##다진 마늘 1큰술##,기름 2큰술##물 1/4컵##굴 소스 1큰술##간장 1큰술##고춧가루 1큰술##설탕 1티스푼##,"먼저 파를 다져서 기름 2 큰 술과 볶아서
파기름을 만들어 주세요
중불##파기름을 만든 후 고춧가루 1 큰 술과
다진 마늘 1 큰 술을 넣어서 볶아줍니다~
중불##마늘이 다 볶아지면 물 소주컵으로 한 컵과 간장 1 큰 술,
굴 소스 1 큰 술, 설탕 1 티스푼을 넣고
끓여주세요~~
굴소스가 없으면 간장1숟가락을 추가하고 설탕을생략하지 말고 꼭 넣어서 대체 해주세요~##양념이 잘 끓게 볶아주고##보글보글 끓으면 남은 잡채를 넣어주세요~##당면이 다시 부드러워지게
잘 볶아주면 완성이이요!##"
97,쫄면 레시피 양념장 맛있어요~ 면은 불지않게!,쫄면,쫄면 2인분##오이 1/2개##양배추 1줌##당근 1/3개##콩나물 1/2봉지##상추 3장##삶은달걀 1개##참기름 1큰술##,고추장 4큰술##고춧가루 4큰술##식초 4큰술##간장 3큰술##설탕 3큰술##매실액 3큰술##맛술 1큰술##사이다 1/3컵##다진마늘 1큰술##통깨 2큰술##,"고춧가루, 고추장, 식초는
같은 비율
( 4큰술씩 )##설탕, 간장, 매실액 같은 비울
( 3큰술씩 )##맛술을 조금 넣어 감칠맛을 더해주고
사이다를 넣어 양념장을 묽게 만들어준다##통깨는 손으로 으깨어 넣어주면
고소함이 더하다
다진마늘도 넣어 주고##맛을 보고 취향에 맞게
간장, 매실액, 식초를 추가로 넣기##콩나물은 삶아서 준비하고
다른 야채들은 얇게 채 썰어준다
양배추나 당근은 감자 껍질 벗길 때 쓰는
필러로 얇게 슬라이스해서 채를 썰면
아주 얇게 채 썰 수 있어 편하다##쫄면을 먹을 만큼 덜어내서
가닥을 잘 풀어 준 뒤에 삶아준다##쫄면 불지 않게 삶기
끓는 물에 면을 넣고
잘 저어가면서 4분쯤 삶아준다
이때 식용유 한 큰술 넣어 삶기~!##면에 기름으로 코팅이 되어
잘 퍼지지 않고 쫄깃함이 오래간다
찬물에 잘 헹구어 주고##식용유를 넣어 삶았기 때문에
물에 헹구어도 윤기가 반지르르~
면의 탱탱함이 확실히 오래간다##면을 그릇에 담고 참기름으로
살짝 무쳐낸 뒤 야채를 올린다##늘 사진을 찍는 시간이 있어서
먹을 때쯤에 면이 불때가 많다
그래서 생긴 노하우는
바로 식용유나 올리브오일을 넣은 물에 면을 삶고 찬물에 헹군 뒤에
참기름 한 바퀴 둘러 먼저 비벼주기~##확실히 면이 빨리 불지 않아서
마지막 한 젓가락까지 맛있게 먹을 수 있었다##"
98,바지락 조개국,바지락조개국,바지락 1봉지##두부 1/2모##쏭쏭썬대파 ##,다진마늘 1/2스푼##소금 1/2스푼##미림 1+1/2스푼##,바지락을 찬물에 깨끗이 해감해서 씻어줍니다.##끓는 물에 깨끗이 씻은 바지락을 넣어줍니다.##대파와 두부를 넣어준 다음 미림과 마늘 소금을 넣어주고 한소끔 끓입니다.##
